method,grammar,seed,p,r,f1,time,call_time,calls,m,NT,A,l(A),S,T,tP,mP
arvada,turtle,dec-ase21-h,1.0,0.431,0.6023759608665269,12.779687881469727,9.86900806427002,1693.0,18116.0,8.0,75.0,1.1866666666666668,89.0,67.0,2.722454309463501,21624.0
arvada,turtle,dec-ase21-h,1.0,0.431,0.6023759608665269,12.351818323135376,9.44358491897583,1612.0,18212.0,8.0,75.0,1.1866666666666668,89.0,67.0,2.4705450534820557,21512.0
arvada,turtle,dec-ase21-h,1.0,0.431,0.6023759608665269,13.555887937545776,10.38561201095581,1806.0,18196.0,8.0,75.0,1.1866666666666668,89.0,67.0,2.7286627292633057,21688.0
arvada,turtle,dec-r1,1.0,0.431,0.6023759608665269,103.65241193771362,50.32869100570679,7998.0,24532.0,8.0,77.0,1.2337662337662338,95.0,67.0,4.275953054428101,22644.0
arvada,turtle,dec-r1,1.0,0.431,0.6023759608665269,105.1237063407898,49.68834066390991,7917.0,23328.0,9.0,78.0,1.2307692307692308,96.0,67.0,4.762744903564453,23028.0
arvada,turtle,dec-r1,1.0,0.431,0.6023759608665269,103.39128708839417,49.799142599105835,7921.0,23612.0,9.0,78.0,1.2307692307692308,96.0,67.0,4.550546407699585,22904.0
arvada,turtle,dec-r1,1.0,0.431,0.6023759608665269,109.89110612869263,52.040433168411255,8284.0,22660.0,8.0,77.0,1.2337662337662338,95.0,67.0,4.308486223220825,22584.0
arvada,turtle,dec-r1,1.0,0.431,0.6023759608665269,117.29365158081055,55.87090873718262,8880.0,22872.0,8.0,77.0,1.2337662337662338,95.0,67.0,3.70386004447937,22584.0
arvada,turtle,dec-r1,1.0,0.431,0.6023759608665269,99.66145515441895,49.02114415168762,7762.0,23424.0,9.0,78.0,1.2307692307692308,96.0,67.0,5.284354209899902,22756.0
arvada,turtle,dec-r1,1.0,0.431,0.6023759608665269,117.83028435707092,55.78406286239624,8861.0,23504.0,8.0,77.0,1.2337662337662338,95.0,67.0,3.6111319065093994,22588.0
arvada,turtle,dec-r1,1.0,0.431,0.6023759608665269,99.06610131263733,47.98254466056824,7584.0,23624.0,9.0,78.0,1.2307692307692308,96.0,67.0,4.493785619735718,22852.0
arvada,turtle,dec-r1,1.0,0.431,0.6023759608665269,113.88003516197205,53.21358323097229,8428.0,22812.0,8.0,77.0,1.2337662337662338,95.0,67.0,3.273118734359741,22560.0
arvada,turtle,dec-r1,1.0,0.431,0.6023759608665269,96.13879990577698,46.52144455909729,7466.0,23260.0,8.0,77.0,1.2337662337662338,95.0,67.0,4.374376058578491,22552.0
arvada,turtle,dec-r2,1.0,0.303,0.46508058326937834,72.29452633857727,39.71479678153992,6453.0,21920.0,8.0,76.0,1.236842105263158,94.0,67.0,2.8014025688171387,21872.0
arvada,turtle,dec-r2,1.0,0.303,0.46508058326937834,80.16660952568054,44.09390687942505,7156.0,21560.0,8.0,76.0,1.236842105263158,94.0,67.0,2.450416088104248,21944.0
