method,grammar,seed,p,r,f1,time,call_time,calls,m,NT,A,l(A),S,T,tP,mP
treevada,tinyc,r5,0.93±0.0,0.53±0.0,0.67±0.0,11647.58±989.79,3109.63±194.73,145918.0±0.0,416467.2±2886.86,41.0±0.0,188.0±0.0,1.84±0.0,345.0±0.0,51.0±0.0,244.81±33.39,46044.8±2168.85
treevada,turtle,ase21-h,1.0±0.0,1.0±0.0,1.0±0.0,43.4±0.29,31.86±0.26,5110.0±0.0,21226.0±204.93,11.0±0.0,84.0±0.0,1.26±0.0,106.0±0.0,67.0±0.0,8.06±0.21,25255.6±123.51
treevada,turtle,r1,0.95±0.0,1.0±0.0,0.97±0.0,174.88±1.93,113.2±1.21,16041.0±0.0,36438.4±52.7,15.0±0.0,95.0±0.0,1.31±0.0,124.0±0.0,67.0±0.0,29.39±2.15,28680.4±252.34
treevada,turtle,r2,1.0±0.0,1.0±0.0,1.0±0.0,117.33±1.55,76.39±1.1,11360.0±0.0,29710.8±109.35,12.0±0.0,86.0±0.0,1.23±0.0,106.0±0.0,67.0±0.0,13.51±1.17,26425.6±249.72
treevada,while,ase21-h,1.0±0.0,0.24±0.0,0.38±0.0,27.01±0.26,20.77±0.24,3233.0±0.0,21300.4±105.16,8.0±0.0,18.0±0.0,2.72±0.0,49.0±0.0,18.0±0.0,2.73±0.21,23131.6±64.29
treevada,while,r1,1.0±0.0,1.0±0.0,1.0±0.0,3300.92±56.96,391.92±8.27,31552.0±0.0,133160.8±230.79,24.0±0.0,55.0±0.0,2.05±0.0,113.0±0.0,18.0±0.0,108.23±8.33,90140.4±149.54
treevada,while,r2,1.0±0.0,1.0±0.0,1.0±0.0,4736.91±121.64,432.83±7.07,31372.0±0.0,222643.6±200.34,17.0±0.0,38.0±0.0,2.11±0.0,80.0±0.0,18.0±0.0,78.16±4.48,64714.4±118.47
treevada,xml,ase21-h,1.0±0.0,1.0±0.0,1.0±0.0,145.99±6.65,67.37±1.56,9485.0±0.0,34337.2±80.49,10.0±0.0,82.0±0.0,1.52±0.0,125.0±0.0,58.0±0.0,8.04±0.39,22280.8±167.75
treevada,xml,r1,1.0±0.0,1.0±0.0,1.0±0.0,224.4±2.39,87.78±1.28,10822.0±0.0,79965.2±102.8,9.0±0.0,78.0±0.0,2.0±0.0,156.0±0.0,58.0±0.0,15.87±2.22,24305.2±270.67
treevada,xml,r2,1.0±0.0,0.9±0.0,0.95±0.0,207.32±4.62,94.89±2.88,11842.0±0.0,65882.4±155.14,11.0±0.0,86.0±0.0,2.29±0.0,197.0±0.0,58.0±0.0,13.51±0.25,24491.2±221.49
