method,grammar,seed,p,r,f1,time,call_time,calls,m,NT,A,l(A),S,T,tP,mP
arvada,json,r1,0.602,0.98,0.7458407079646018,155.76856660842896,104.89226245880127,13278.0,39676.0,33.0,158.0,1.379746835443038,218.0,74.0,13.988442420959473,24476.0
arvada,json,r1,0.848,0.98,0.9092341356673962,106.6015100479126,72.2862434387207,10258.0,42920.0,30.0,155.0,1.367741935483871,212.0,74.0,11.645614862442017,22940.0
arvada,json,r1,0.537,0.98,0.6938167435728413,158.9341254234314,106.23417091369629,13470.0,52276.0,36.0,167.0,1.377245508982036,230.0,74.0,22.700445652008057,25600.0
arvada,json,r1,0.617,0.983,0.75813875,166.55590152740479,109.64709973335266,14082.0,51832.0,33.0,163.0,1.3865030674846626,226.0,74.0,13.000119924545288,23784.0
arvada,json,r1,0.75,0.98,0.8497109826589595,151.43255639076233,98.7035026550293,13170.0,40840.0,30.0,155.0,1.3741935483870968,213.0,74.0,17.505591869354248,25664.0
arvada,json,r2,0.858,0.98,0.9149510337323176,80.0957682132721,55.60408091545105,8695.0,24076.0,18.0,121.0,1.2727272727272727,154.0,74.0,10.82059383392334,22400.0
arvada,json,r2,0.73,0.98,0.8367251461988303,70.18688678741455,53.673755168914795,8435.0,23740.0,20.0,127.0,1.2755905511811023,162.0,74.0,11.897814273834229,22836.0
arvada,json,r2,0.951,0.98,0.9652822371828067,105.76395750045776,70.09869313240051,11410.0,23644.0,18.0,121.0,1.2892561983471074,156.0,74.0,11.551820516586304,22984.0
arvada,json,r2,0.7,0.98,0.8166666666666667,75.36999416351318,54.68059492111206,8671.0,22112.0,20.0,125.0,1.28,160.0,74.0,15.026246070861816,22800.0
arvada,json,r2,0.573,0.98,0.7231680618158403,102.30928611755371,67.754310131073,10414.0,23684.0,18.0,121.0,1.2975206611570247,157.0,74.0,8.987488508224487,22700.0
arvada,json,r2,0.644,0.98,0.7772413793103448,66.4591133594513,50.68940567970276,7901.0,23804.0,26.0,135.0,1.3111111111111111,177.0,74.0,14.02692198753357,23376.0
arvada,json,r2,0.546,0.98,0.7012844036697248,105.79851651191711,67.0370283126831,10530.0,23836.0,21.0,126.0,1.2857142857142858,162.0,74.0,11.729299545288086,22384.0
arvada,json,r2,0.583,0.98,0.7310812539987204,65.39413118362427,49.12425088882446,7775.0,23388.0,20.0,123.0,1.2357723577235773,152.0,74.0,12.421415090560913,22568.0
arvada,json,r2,0.944,0.98,0.9616632016632016,91.5905978679657,59.65708327293396,9532.0,23896.0,21.0,130.0,1.3307692307692307,173.0,74.0,11.771044492721558,22480.0
arvada,json,r2,0.985,0.98,0.9824936386768448,102.23336839675903,67.30098628997803,11107.0,23028.0,19.0,126.0,1.3174603174603174,166.0,74.0,11.47169828414917,23332.0
arvada,lisp,ase21-h,0.982,0.296,0.45488575899843503,15.359894037246704,13.098487615585327,2249.0,18232.0,11.0,115.0,1.1043478260869566,127.0,66.0,3.0981574058532715,20700.0
arvada,lisp,ase21-h,1.0,0.246,0.39486356340288925,14.11622166633606,12.410349369049072,2069.0,18120.0,10.0,52.0,1.2115384615384615,63.0,40.0,1.9019789695739746,20212.0
arvada,lisp,ase21-h,1.0,0.292,0.45201238390092874,26.92446732521057,19.148020029067993,3110.0,18352.0,9.0,52.0,1.3076923076923077,68.0,40.0,2.0573182106018066,20480.0
arvada,lisp,ase21-h,0.8,1.0,0.888888888888889,13.29608154296875,11.93963098526001,1949.0,18004.0,12.0,61.0,1.2950819672131149,79.0,40.0,80.76682138442993,34336.0
arvada,lisp,ase21-h,1.0,0.246,0.39486356340288925,16.714754819869995,14.197596788406372,2338.0,18268.0,12.0,55.0,1.2363636363636363,68.0,40.0,1.8187930583953857,20152.0
arvada,lisp,ase21-h,1.0,0.246,0.39486356340288925,11.752005338668823,10.812133312225342,1836.0,18148.0,10.0,52.0,1.2115384615384615,63.0,40.0,1.6651911735534668,20072.0
arvada,lisp,ase21-h,0.958,0.246,0.3914750830564784,15.263078212738037,13.415186405181885,2219.0,18220.0,12.0,56.0,1.2678571428571428,71.0,40.0,1.5813889503479004,20076.0
arvada,lisp,ase21-h,1.0,0.713,0.8324576765907763,11.454757690429688,10.469863414764404,1715.0,18080.0,11.0,55.0,1.2363636363636363,68.0,40.0,26.9149489402771,26488.0
arvada,lisp,ase21-h,0.957,0.246,0.39139152119700754,15.489792823791504,13.315467119216919,2217.0,18188.0,12.0,56.0,1.2678571428571428,71.0,40.0,2.4143526554107666,20192.0
arvada,lisp,ase21-h,0.957,0.246,0.39139152119700754,16.25127387046814,14.201164245605469,2351.0,18196.0,12.0,56.0,1.2678571428571428,71.0,40.0,1.7467050552368164,20228.0
arvada,lisp,r1,0.851,1.0,0.9195029713668287,10122.167512178421,3645.172974586487,62948.0,715312.0,28.0,123.0,1.6178861788617886,199.0,40.0,657.2516973018646,68932.0
arvada,lisp,r1,0.673,1.0,0.8045427375971309,8950.933799743652,3013.2285249233246,63896.0,848524.0,30.0,125.0,1.656,207.0,40.0,317.12426114082336,70872.0
arvada,lisp,r1,1.0,0.219,0.3593109105824446,10404.028203725815,228.5156819820404,12242.0,44158920.0,10.0,70.0,20.885714285714286,1462.0,40.0,13.40529751777649,24452.0
arvada,lisp,r1,0.911,1.0,0.9534275248560963,10400.277730226517,3904.1214184761047,68628.0,714632.0,38.0,155.0,1.7225806451612904,267.0,40.0,780.050302028656,91460.0
arvada,lisp,r1,1.0,0.219,0.3593109105824446,12758.142827272415,251.10820055007935,12483.0,44174988.0,10.0,70.0,20.885714285714286,1462.0,40.0,14.81568717956543,25344.0
arvada,lisp,r1,1.0,0.219,0.3593109105824446,10989.99349117279,235.4071066379547,11953.0,44175656.0,10.0,70.0,20.885714285714286,1462.0,40.0,11.363565444946289,24864.0
arvada,lisp,r1,0.842,1.0,0.9142236699239956,12102.40264749527,4204.283347129822,68834.0,827760.0,29.0,125.0,1.704,213.0,40.0,398.9574007987976,79236.0
arvada,lisp,r1,0.807,1.0,0.8931931377974545,5672.004775047302,2153.16592502594,46009.0,658860.0,28.0,119.0,1.596638655462185,190.0,40.0,248.68155097961426,59276.0
